oss,package,version,url,info
Add-Clear,Add-Clear-master.zip,2.0.7,https://github.com/skorecky/Add-Clear/archive/master.zip,
Amazon Linux AMI,-,,,https://aws.amazon.com/jp/amazon-linux-ami/2016.09-packages/
FindBugs Annotations,-,,,-> FindBugs
FindBugs,findbugs-3.0.1-source.zip,3.0.1,http://prdownloads.sourceforge.net/findbugs/findbugs-3.0.1-source.zip?download,
FindBugs,findbugs-2.0.1-source.zip,2.0.1,https://sourceforge.net/projects/findbugs/files/findbugs/2.0.1/findbugs-2.0.1-source.zip/download,
ANTLR,antlr-2.7.7.tar.gz,2.7.7,http://www.antlr2.org/download/antlr-2.7.7.tar.gz,
AOP Alliance,aopalliance-src.tar.gz,1.0,http://aopalliance.cvs.sourceforge.net/viewvc/aopalliance/aopalliance/src/?view=tar,
AOP Alliance Jackson-core,-,,,
Aopalliance Repackaged As A Module,-,,,
Apache Avalon Logkit,avalon-logkit-2.0.dev-0-src.tar.g,2.0,http://archive.apache.org/dist/avalon/avalon-logkit/distributions/avalon-logkit-2.0.dev-0-src.tar.gz,
Apache Commons BeanUtils,commons-beanutils-1.9.2-src.zip,1.9.2,https://archive.apache.org/dist/commons/beanutils/source/commons-beanutils-1.9.2-src.zip,
Apache Commons Chain,commons-chain-1.2-src.tar.gz,1.2,http://ftp.tsukuba.wide.ad.jp/software/apache//commons/chain/source/commons-chain-1.2-src.tar.gz,
Apache Commons Codec,commons-codec-1.10-src.tar.gz,1.10,http://ftp.yz.yamagata-u.ac.jp/pub/network/apache//commons/codec/source/commons-codec-1.10-src.tar.gz,
Apache Commons Collections,commons-collections4-4.1-src.tar.gz,4.1,http://ftp.meisei-u.ac.jp/mirror/apache/dist//commons/collections/source/commons-collections4-4.1-src.tar.gz,
Apache Commons DBCP,commons-dbcp-1.4-src.tar.gz,1.4,http://ftp.riken.jp/net/apache//commons/dbcp/source/commons-dbcp-1.4-src.tar.gz,
Apache Commons Digester,commons-digester-2.1-src.tar.gz,2.1,http://archive.apache.org/dist/commons/digester/source/commons-digester-2.1-src.tar.gz,
Apache Commons EL,-,,,
Apache Commons Email,commons-email-1.4-src.tar.gz,1.4,http://ftp.kddilabs.jp/infosystems/apache//commons/email/source/commons-email-1.4-src.tar.gz,
Apache Commons FileUpload,commons-fileupload-1.3.2-src.tar.gz,1.3.2,http://ftp.yz.yamagata-u.ac.jp/pub/network/apache//commons/fileupload/source/commons-fileupload-1.3.2-src.tar.gz,
Apache Commons HttpClient,commons-httpclient-3.1-src.tar.gz,3.1,http://archive.apache.org/dist/httpcomponents/commons-httpclient/source/commons-httpclient-3.1-src.tar.gz,Commons HttpClient is legacy.
Apache Commons IO,commons-io-2.5-src.tar.gz,2.5,http://ftp.meisei-u.ac.jp/mirror/apache/dist//commons/io/source/commons-io-2.5-src.tar.gz,
Apache Commons Lang,commons-lang3-3.4-src.tar.gz,3.4,https://archive.apache.org/dist/commons/lang/source/commons-lang3-3.4-src.tar.gz,
Apache Commons Logging,commons-logging-1.2-src.tar.gz,1.2,http://ftp.yz.yamagata-u.ac.jp/pub/network/apache//commons/logging/source/commons-logging-1.2-src.tar.gz,
